PeakID (cmd=annotatePeaks.pl 4E1-PMA-01_S10a_sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-PMA-01_S10a_sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-PMA-01_S10a_sorted_rstrand_peak_1814	chr17	37009922	37009986	+	2756	NA	exon (NM_000978, exon 1 of 5)	promoter-TSS (NM_000978)	99	NM_000978	9349	Hs.406300	NM_000978		RPL23	L23|rpL17	ribosomal protein L23	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1147a	chr12	120729553	120729708	+	2754	NA	Intergenic--11066	U4|snRNA|snRNA	-10494	NM_012240	23409	Hs.50861	NM_012240	ENSG00000089163	SIRT4	SIR2L4	sirtuin 4	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4453	chr9	123248899	123248951	+	2743	NA	intron (NR_073555, intron 14 of 37)	intron (NR_073555, intron 14 of 37)	93523	NR_073558	55755	Hs.269560	NM_018249	ENSG00000136861	CDK5RAP2	C48|Cep215|MCPH3	CDK5 regulatory subunit associated protein 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2612	chr20	57607287	57607400	+	2727	NA	5' UTR (NM_006886, exon 1 of 3)	promoter-TSS (NM_006886)	79	NM_006886	514	Hs.177530	NM_006886		ATP5E	ATPE|MC5DN3	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1149	chr12	98897281	98897366	+	2709	NA	intron (NR_038383, intron 1 of 3)	tRNA-Asp-GAY|tRNA|tRNA	310	NR_038383	643770	Hs.129589	NR_038383	ENSG00000245017	LOC643770	-	uncharacterized LOC643770	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_828	chr11	65625528	65625651	+	2675	NA	5' UTR (NM_005507, exon 1 of 4)	5' UTR (NM_005507, exon 1 of 4)	215	NM_005507	1072	Hs.170622	NM_005507	ENSG00000172757	CFL1	CFL|HEL-S-15|cofilin	cofilin 1 (non-muscle)	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1217	chr12	132515768	132515850	+	2661	NA	non-coding (NR_002979, exon 1 of 1)	promoter-TSS (NR_002979)	40	NR_002979	677829	Hs.742405	NR_002979	ENSG00000208892	SNORA49	ACA49	small nucleolar RNA, H/ACA box 49	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_77a	chr1	28975112	28975260	+	2619	NA	non-coding (NR_004407, exon 1 of 1)	promoter-TSS (NR_004407)	74	NR_004407	26824	Hs.640266	NR_004407	ENSG00000270103	RNU11	RNU11-1|U11	RNA, U11 small nuclear	snRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_4254	chr8	60368444	60368511	+	2618	NA	Intergenic--7432	5S|rRNA|rRNA	-336710	NM_014729	9760	Hs.491805	NM_014729	ENSG00000198846	TOX	TOX1	thymocyte selection-associated high mobility group box	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3342	chr5	137896721	137896800	+	2613	NA	non-coding (NR_002913, exon 1 of 1)	promoter-TSS (NR_002913)	39	NR_002913	26785		NR_002913	ENSG00000206989	SNORD63	RNU63|U63	small nucleolar RNA, C/D box 63	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_2844	chr20	47897225	47897298	+	2575	NA	non-coding (NR_003030, exon 1 of 1)	promoter-TSS (NR_003030)	41	NR_003030	692057		NR_003030	ENSG00000212304	SNORD12	HBII-99|MIR1259|MIRN1259	small nucleolar RNA, C/D box 12	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_2394	chr19	58898636	58898727	+	2537	NA	5' UTR (NM_001009, exon 1 of 6)	promoter-TSS (NR_039910)	45	NM_001009	6193	Hs.378103	NM_001009	ENSG00000083845	RPS5	S5	ribosomal protein S5	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4686	chrX	108297762	108297861	+	2520	NA	non-coding (NR_106735, exon 1 of 1)	promoter-TSS (NR_106735)	39	NR_106735	102464835		NR_106735	ENSG00000275110	MIR6087	hsa-mir-6087	microRNA 6087	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_878	chr11	75110562	75110643	+	2514	NA	5' UTR (NM_001260507, exon 1 of 6)	promoter-TSS (NR_000005)	67	NM_001256802	6188	Hs.546286	NM_001005	ENSG00000149273	RPS3	S3	ribosomal protein S3	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1760	chr17	8286424	8286512	+	2506	NA	5' UTR (NM_001315531, exon 1 of 4)	promoter-TSS (NM_000987)	14	NM_001315530	6154	Hs.482144	NM_000987	ENSG00000161970	RPL26	DBA11|L26	ribosomal protein L26	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3371	chr5	157403876	157403964	+	2501	NA	Intergenic--5220	U2|snRNA|snRNA	-117737	NM_001195556	9685	Hs.644000	NM_014666	ENSG00000113282	CLINT1	CLINT|ENTH|EPN4|EPNR	clathrin interactor 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3065	chr3	39448211	39448267	+	2500	NA	5' UTR (NM_002295, exon 1 of 7)	promoter-TSS (NM_002295)	59	NM_001304288	3921	Hs.449909	NM_002295	ENSG00000168028	RPSA	37LRP|67LR|ICAS|LAMBR|LAMR1|LBP|LBP/p40|LRP|LRP/LR|NEM/1CHD4|SA|lamR|p40	ribosomal protein SA	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1955	chr17	79479719	79479828	+	2488	NA	5' UTR (NM_001199954, exon 1 of 6)	non-coding (NR_037688, exon 1 of 7)	119	NM_001614	71	Hs.514581	NM_001614	ENSG00000184009	ACTG1	ACT|ACTG|BRWS2|DFNA20|DFNA26|HEL-176	actin gamma 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4427	chr9	98622194	98622251	+	2463	NA	intron (NR_023390, intron 1 of 2)	U2|snRNA|snRNA	-15678	NM_001010895	375748	Hs.432364	NM_020207	ENSG00000182150	ERCC6L2	BMFS2|C9orf102|RAD26L|SR278	excision repair cross-complementation group 6-like 2	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3903	chr6	133135708	133135766	+	2448	NA	5' UTR (NM_001016, exon 1 of 6)	promoter-TSS (NM_001016)	29	NM_001016	6206	Hs.546289	NM_001016		RPS12	S12	ribosomal protein S12	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3661	chr5	170814854	170814934	+	2427	NA	5' UTR (NM_001037738, exon 1 of 10)	5' UTR (NM_001037738, exon 1 of 10)	186	NM_001037738	4869	Hs.557550	NM_002520	ENSG00000181163	NPM1	B23|NPM	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1356	chr14	74055506	74055567	+	2420	NA	Intergenic--11875	tRNA-Lys-AAA|tRNA|tRNA	-2874	NM_152331	122970	Hs.49433	NM_152331		ACOT4	PTE-Ib|PTE1B|PTE2B	acyl-CoA thioesterase 4	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_815	chr11	65267061	65267186	+	2396	NA	non-coding (NR_002819, exon 1 of 1)	non-coding (NR_002819, exon 1 of 1)	1890	NR_002819	378938	Hs.621695	NR_002819	ENSG00000251562	MALAT1	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853|mascRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_4117	chr7	128337747	128337806	+	2358	NA	Intergenic--6920	5S|rRNA|rRNA	-11339	NM_001282789	84691	Hs.732440	NM_032599	ENSG00000135248	FAM71F1	FAM137A|NYD-SP18	family with sequence similarity 71, member F1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1148b	chr12	120730887	120731041	+	2336	NA	Intergenic--11066	U4|snRNA|snRNA	-9160	NM_012240	23409	Hs.50861	NM_012240	ENSG00000089163	SIRT4	SIR2L4	sirtuin 4	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2936	chr3	164383722	164383772	+	2331	NA	Intergenic--3605	Intergenic	165521	NR_126405	104355289	Hs.574909	NR_126405	ENSG00000241767	LINC01324	-	long intergenic non-protein coding RNA 1324	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_428	chr1	208189331	208189380	+	2331	NA	Intergenic--1486	MIR3|SINE|MIR	-104672	NM_001773	947	Hs.374990	NM_001773	ENSG00000174059	CD34	-	CD34 molecule	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4551b	chrM	588	798	+	2320	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10a_sorted_fstrand_peak_144	chr1	52439083	52439141	+	2314	NA	intron (NM_002867, intron 2 of 4)	5S|rRNA|rRNA	17324	NM_002867	5865	Hs.123072	NM_002867	ENSG00000169213	RAB3B	-	RAB3B, member RAS oncogene family	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1995b	chr17	62223331	62223529	+	2303	NA	intron (NR_132278, intron 1 of 1)	promoter-TSS (NR_004380)	-8	NR_004380	692227		NR_004380	ENSG00000199753	SNORD104	U104	small nucleolar RNA, C/D box 104	snoRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_2858	chr3	101405487	101405562	+	2271	NA	5' UTR (NM_000986, exon 1 of 6)	promoter-TSS (NM_000986)	39	NM_000986	6152	Hs.477028	NM_000986	ENSG00000114391	RPL24	HEL-S-310|L24	ribosomal protein L24	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3753	chr7	25164808	25164881	+	2231	NA	5' UTR (NM_018947, exon 1 of 3)	5' UTR (NM_018947, exon 1 of 3)	136	NM_018947	54205	Hs.437060	NM_018947		CYCS	CYC|HCS|THC4	cytochrome c, somatic	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2446	chr2	33141274	33141368	+	2207	NA	intron (NR_027099, intron 5 of 5)	(G)n|Simple_repeat|Simple_repeat	-10873	NR_027097	100271832	Hs.743603	NR_027097		LOC100271832	-	uncharacterized LOC100271832	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_3336	chr4	109541724	109541798	+	2193	NA	5' UTR (NM_033625, exon 1 of 6)	promoter-TSS (NM_033625)	12	NM_033625	6164	Hs.438227	NM_000995	ENSG00000109475	RPL34	L34	ribosomal protein L34	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_146b	chr1	45285533	45285671	+	2177	NA	3' UTR (NM_001166292, exon 23 of 23)	TTS (NM_001166292)	11448	NM_001136537	149478	Hs.632400	NM_001136537	ENSG00000222009	BTBD19	-	BTB (POZ) domain containing 19	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1913	chr17	66015996	66016078	+	2171	NA	Intergenic--14058	tRNA-Arg-AGG|tRNA|tRNA	-15811	NM_002266	3838	Hs.594238	NM_002266	ENSG00000182481	KPNA2	IPOA1|QIP2|RCH1|SRP1alpha	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3408	chr5	10250365	10250537	+	2165	NA	5' UTR (NM_012073, exon 1 of 11)	promoter-TSS (NM_199133)	-198	NM_001306155	22948	Hs.1600	NM_012073	ENSG00000150753	CCT5	CCT-epsilon|CCTE|HEL-S-69|PNAS-102|TCP-1-epsilon	chaperonin containing TCP1, subunit 5 (epsilon)	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3478	chr6	28625997	28626060	+	2155	NA	Intergenic--5560	tRNA-Ala-GCY_|tRNA|tRNA	-70916	NM_052923	114821	Hs.176980	NM_052923	ENSG00000232040	ZBED9	Buster4|SCAND3|ZFP38-L|ZNF305P2|ZNF452|dJ1186N24.3	zinc finger, BED-type containing 9	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4554b	chrM	1529	1936	+	2138	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10a_sorted_rstrand_peak_803	chr11	62622085	62622168	+	2127	NA	non-coding (NR_002562, exon 1 of 1)	promoter-TSS (NR_002562)	41	NR_002562	9300		NR_002562	ENSG00000274544	SNORD28	RNU28|U28	small nucleolar RNA, C/D box 28	snoRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_2239	chr19	58024383	58024432	+	2107	NA	exon (NM_001304335, exon 5 of 5)	exon (NM_001304335, exon 5 of 5)	13185	NR_130705	374928	Hs.579576	NM_198542	ENSG00000152439	ZNF773	ZNF419B	zinc finger protein 773	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3744	chr6	27100821	27100903	+	2107	NA	exon (NM_021064, exon 1 of 1)	promoter-TSS (NM_021058)	45	NM_021064	8969	Hs.51011	NM_021064		HIST1H2AG	H2A.1b|H2A/p|H2AFP|H2AG|pH2A/f	histone cluster 1, H2ag	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1852	chr17	27047569	27047644	+	2070	NA	non-coding (NR_000013, exon 1 of 1)	promoter-TSS (NR_000013)	38	NR_000013	26808		NR_000013	ENSG00000238423	SNORD42B	RNU42B|U42B	small nucleolar RNA, C/D box 42B	snoRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_1568	chr16	2205010	2205106	+	2066	NA	non-coding (NR_002736, exon 1 of 1)	promoter-TSS (NR_002736)	48	NR_002736	26788		NR_002736	ENSG00000206630	SNORD60	RNU60|U60	small nucleolar RNA, C/D box 60	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_3835	chr6	44219812	44219958	+	2066	NA	exon (NM_007355, exon 10 of 12)	exon (NM_007355, exon 10 of 12)	2137	NR_039790	100616124		NR_039790	ENSG00000265700	MIR4647	mir-4647	microRNA 4647	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_1767	chr16	89627835	89627921	+	2061	NA	non-coding (NR_002450, exon 1 of 1)	promoter-TSS (NR_002450)	40	NR_002450	606500		NR_002450		SNORD68	HBII-202	small nucleolar RNA, C/D box 68	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_1573	chr15	96327893	96327971	+	2052	NA	Intergenic--12635	tRNA-Lys-AAG|tRNA|tRNA	351610	NR_027132	145820	Hs.652702	NR_027132	ENSG00000259134	LINC00924	-	long intergenic non-protein coding RNA 924	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_4150	chr8	146017710	146017780	+	2051	NA	intron (NM_000973, intron 1 of 5)	promoter-TSS (NM_033301)	-16	NM_033301	6132	Hs.178551	NM_000973	ENSG00000161016	RPL8	L8	ribosomal protein L8	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4276a	chr9	113018690	113018844	+	2038	NA	5' UTR (NM_003329, exon 1 of 5)	5' UTR (NM_003329, exon 1 of 5)	153	NM_001244938	7295	Hs.435136	NM_003329	ENSG00000136810	TXN	TRDX|TRX|TRX1	thioredoxin	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_295	chr1	153518188	153518282	+	2021	NA	5' UTR (NM_019554, exon 1 of 4)	promoter-TSS (NM_019554)	17	NR_125947	101928034	Hs.711397	NR_125947		LOC101928034	-	uncharacterized LOC101928034	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_690	chr11	18416108	18416207	+	2007	NA	5' UTR (NM_001135239, exon 1 of 7)	non-coding (NR_028500, exon 1 of 7)	221	NR_028500	3939	Hs.2795	NM_005566	ENSG00000134333	LDHA	GSD11|HEL-S-133P|LDHM|PIG19	lactate dehydrogenase A	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3930	chr7	148684251	148684340	+	2005	NA	Intergenic	promoter-TSS (NR_130107)	-324	NR_130107	102723099	Hs.621982	NR_130107	ENSG00000281189	GHET1	lncRNA-GHET1	gastric carcinoma proliferation enhancing transcript 1	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_171	chr1	76255162	76255247	+	2000	NA	non-coding (NR_002748, exon 1 of 1)	promoter-TSS (NR_002748)	42	NR_002748	26804		NR_002748	ENSG00000201487	SNORD45B	RNU45B|U45b	small nucleolar RNA, C/D box 45B	snoRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_99	chr1	28906338	28906391	+	1995	NA	non-coding (NR_002987, exon 1 of 1)	promoter-TSS (NR_002987)	41	NR_002987	677838	Hs.632377	NR_002987	ENSG00000278274	SNORA61	ACA61	small nucleolar RNA, H/ACA box 61	snoRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_2958	chr3	181540685	181540780	+	1983	NA	Intergenic--3670	5S|rRNA|rRNA	111020	NM_003106	6657	Hs.518438	NM_003106	ENSG00000181449	SOX2	ANOP3|MCOPS3	SRY box 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2179	chr19	39926504	39926590	+	1969	NA	5' UTR (NM_001020, exon 1 of 5)	promoter-TSS (NM_001020)	71	NM_001020	6217	Hs.397609	NM_001020	ENSG00000105193	RPS16	S16	ribosomal protein S16	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3787	chr6	31804851	31804937	+	1954	NA	non-coding (NR_002742, exon 1 of 1)	promoter-TSS (NR_002742)	41	NR_002742	26797		NR_002742	ENSG00000201754	SNORD52	RNU52|U52	small nucleolar RNA, C/D box 52	snoRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_3733	chr7	5570137	5570232	+	1940	NA	5' UTR (NM_001101, exon 1 of 6)	promoter-TSS (NM_001101)	48	NM_001101	60	Hs.520640	NM_001101	ENSG00000075624	ACTB	BRWS1|PS1TP5BP1	actin, beta	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1167	chr12	104519012	104519085	+	1934	NA	intron (NM_006166, intron 4 of 7)	promoter-TSS (NR_106988).14	-5	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_2925	chr21	47281666	47281726	+	1903	NA	intron (NM_001130141, intron 1 of 12)	intron (NM_001130141, intron 1 of 12)	11821	NM_020528	54039	Hs.474049	NM_020528	ENSG00000183570	PCBP3	ALPHA-CP3	poly(rC) binding protein 3	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2529	chr2	232366838	232366912	+	1900	NA	Intergenic--2773	U2|snRNA|snRNA	12175	NR_024079	151477	Hs.375211	NM_173513	ENSG00000181798	LINC00471	C2orf52	long intergenic non-protein coding RNA 471	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_2525	chr2	85132779	85132864	+	1853	NA	5' UTR (NM_021103, exon 1 of 3)	promoter-TSS (NM_021103)	58	NM_021103	9168	Hs.446574	NM_021103	ENSG00000034510	TMSB10	MIG12|TB10	thymosin beta 10	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3793	chr6	33239853	33239935	+	1850	NA	5' UTR (NM_022551, exon 1 of 6)	promoter-TSS (NM_022551)	42	NM_022551	6222	Hs.448854	NM_022551	ENSG00000231500	RPS18	D6S218E|HKE3|KE-3|KE3|S18	ribosomal protein S18	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4459	chrX	75875478	75875529	+	1846	NA	Intergenic--17096	5S|rRNA|rRNA	227457	NM_020932	57692	Hs.8453	NM_020932	ENSG00000198934	MAGEE1	DAMAGE|HCA1	MAGE family member E1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2354	chr19	50000977	50001064	+	1840	NA	non-coding (NR_001285, exon 1 of 1)	promoter-TSS (NR_001285)	44	NR_001285	84546		NR_001285	ENSG00000200530	SNORD35B	RNU35B|U35B	small nucleolar RNA, C/D box 35B	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_126	chr1	45241231	45241306	+	1824	NA	5' UTR (NM_001012, exon 1 of 6)	promoter-TSS (NR_000024)	22	NM_001012	6202	Hs.512675	NM_001012	ENSG00000142937	RPS8	S8	ribosomal protein S8	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1981	chr17	57915293	57915410	+	1797	NA	intron (NM_030938, intron 10 of 11)	intron (NM_030938, intron 10 of 11)	-3276	NR_029493	406991	Hs.444569	NR_029493	ENSG00000199004	MIR21	MIRN21|hsa-mir-21|miR-21|miRNA21	microRNA 21	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_2649	chr2	198365069	198365177	+	1783	NA	5' UTR (NM_002157, exon 1 of 4)	promoter-TSS (NM_199440)	-125	NM_199440	3329	Hs.595053	NM_002156	ENSG00000144381	HSPD1	CPN60|GROEL|HLD4|HSP-60|HSP60|HSP65|HuCHA60|SPG13	heat shock 60kDa protein 1 (chaperonin)	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_931	chr11	123172180	123172254	+	1782	NA	Intergenic--10208	U8|snRNA|snRNA	80003	NR_039714	100616319		NR_039714	ENSG00000265357	MIR4493	-	microRNA 4493	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_801	chr11	62621127	62621204	+	1782	NA	non-coding (NR_002561, exon 1 of 1)	promoter-TSS (NR_002561)	39	NR_002561	9299		NR_002561	ENSG00000277846	SNORD30	RNU30|U30	small nucleolar RNA, C/D box 30	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_1830	chr17	16343350	16343422	+	1770	NA	non-coding (NR_002744, exon 1 of 1)	promoter-TSS (NR_002744)	36	NR_002744	26800		NR_002744	ENSG00000277370	SNORD49A	RNU49|U49|U49A	small nucleolar RNA, C/D box 49A	snoRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_820	chr11	64889538	64889657	+	1767	NA	5' UTR (NM_001997, exon 1 of 5)	promoter-TSS (NM_001997)	-58	NR_037567	740	Hs.744882	NM_004927	ENSG00000149792	MRPL49	C11orf4|L49mt|MRP-L49|NOF|NOF1	mitochondrial ribosomal protein L49	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_146a	chr1	45285533	45285671	+	1763	NA	3' UTR (NM_001166292, exon 23 of 23)	TTS (NM_001166292)	11448	NM_001136537	149478	Hs.632400	NM_001136537	ENSG00000222009	BTBD19	-	BTB (POZ) domain containing 19	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4013	chr8	56986381	56986460	+	1759	NA	non-coding (NR_002437, exon 1 of 1)	promoter-TSS (NR_002437)	40	NR_002437	26795		NR_002437	ENSG00000238650	SNORD54	RNU54|U54	small nucleolar RNA, C/D box 54	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_1102	chr12	56510414	56510503	+	1754	NA	5' UTR (NM_001035267, exon 1 of 3)	promoter-TSS (NM_001035267)	84	NM_021104	6171	Hs.112553	NM_021104	ENSG00000229117	RPL41	L41	ribosomal protein L41	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3729	chr6	26204838	26204916	+	1750	NA	exon (NM_003545, exon 1 of 1)	promoter-TSS (NM_003545)	4	NM_003545	8367	Hs.662174	NM_003545	ENSG00000276966	HIST1H4E	H4/j|H4FJ	histone cluster 1, H4e	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4219b	chr9	35657737	35658017	+	1746	NA	non-coding (NR_003051, exon 1 of 1)	promoter-TSS (NM_001195217)	138	NR_003051	6023	Hs.587502	NR_003051	ENSG00000269900	RMRP	CHH|NME1|RMRPR|RRP2	RNA component of mitochondrial RNA processing endoribonuclease	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_802	chr11	62621371	62621440	+	1736	NA	non-coding (NR_002559, exon 1 of 1)	promoter-TSS (NR_002561)	35	NR_002559	9297		NR_002559		SNORD29	RNU29|U29	small nucleolar RNA, C/D box 29	snoRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_3495	chr6	31504137	31504226	+	1719	NA	non-coding (NR_003140, exon 1 of 1).2	promoter-TSS (NR_003140).2	45	NR_003140	692233		NR_003140	ENSG00000201785	SNORD117	U83	small nucleolar RNA, C/D box 117	snoRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_371	chr1	173834756	173834823	+	1716	NA	non-coding (NR_003944, exon 1 of 1)	promoter-TSS (NR_003940)	35	NR_003944	692198		NR_003944		SNORD78	U78	small nucleolar RNA, C/D box 78	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_2352	chr19	49994432	49994521	+	1710	NA	non-coding (NR_000018, exon 1 of 1)	promoter-TSS (NR_000018)	44	NR_000018	26816		NR_000018	ENSG00000200259	SNORD35A	RNU35|RNU35A|U35	small nucleolar RNA, C/D box 35A	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_970	chr12	6879095	6879193	+	1706	NA	exon (NM_002824, exon 3 of 5)	exon (NM_002824, exon 3 of 5)	-2526	NM_002286	3902	Hs.409523	NM_002286	ENSG00000089692	LAG3	CD223	lymphocyte-activation gene 3	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3455	chr6	27114539	27114634	+	1704	NA	5' UTR (NM_080593, exon 1 of 2)	promoter-TSS (NM_080593)	51	NM_080593	85236	Hs.437275	NM_080593		HIST1H2BK	H2B/S|H2BFAiii|H2BFT|H2BK	histone cluster 1, H2bk	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3519	chr6	34393780	34393850	+	1674	NA	5' UTR (NM_001202470, exon 1 of 9)	promoter-TSS (NM_001202470)	3	NM_001203245	6204	Hs.406620	NM_001014	ENSG00000124614	RPS10	DBA9|S10	ribosomal protein S10	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1606	chr16	22207010	22207113	+	1663	NA	Intergenic--12904	tRNA-Leu-CTA|tRNA|tRNA	-10531	NM_013302	29904	Hs.498892	NM_013302	ENSG00000103319	EEF2K	HSU93850|eEF-2K	eukaryotic elongation factor 2 kinase	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_372	chr1	173835097	173835166	+	1661	NA	non-coding (NR_002750, exon 1 of 1)	promoter-TSS (NR_003939)	35	NR_002750	26806		NR_002750		SNORD44	RNU44|U44	small nucleolar RNA, C/D box 44	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_205a	chr1	109642815	109643100	+	1658	NA	non-coding (NR_003023, exon 1 of 1)	non-coding (NR_003023, exon 1 of 1)	142	NR_003023	677766	Hs.550815	NR_003023	ENSG00000270066	SCARNA2	HBII-382|mgU2-25/61	small Cajal body-specific RNA 2	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_4366	chr9	139621216	139621331	+	1656	NA	non-coding (NR_003672, exon 2 of 2)	promoter-TSS (NR_002975)	58	NR_002958	677804	Hs.495480	NR_002958	ENSG00000274998	SNORA17A	ACA17|SNORA17	small nucleolar RNA, H/ACA box 17A	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_2134	chr19	893484	893613	+	1654	NA	non-coding (NR_125730, exon 1 of 1).6	promoter-TSS (NR_125730).6	64	NR_125730	103625684		NR_125730	ENSG00000207357	RNU6-2	U6-2	RNA, U6 small nuclear 2	snRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_1982	chr18	9296901	9296961	+	1641	NA	Intergenic--14242	LTR12C|LTR|ERV1	-37834	NM_020648	57045	Hs.514685	NM_020648	ENSG00000128791	TWSG1	TSG	twisted gastrulation BMP signaling modulator 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_376	chr1	173836806	173836882	+	1635	NA	non-coding (NR_002579, exon 1 of 1)	promoter-TSS (NR_003941)	39	NR_002579	619498		NR_002579		SNORD74	U74|Z18	small nucleolar RNA, C/D box 74	snoRNA
